SKU,Quantity On Hand,Next Availability Date,Discontinued,Location Available,Location
K7401-F2380,0.0,,N,,KFHQ
K7401-F2383,20.0,,N,78.0,KFHQ
K7478-F2232,0.0,04/29/2022,N,24.0,KFHQ
K6138-B230,20.0,,N,98.0,KFHQ
K6138-B231,20.0,,N,98.0,KFHQ
K6138-F1289,20.0,,N,75.0,KFHQ
K6138-F1386,73.0,,N,246.0,KFHQ
K6138-F2205,44.0,,N,148.0,KFHQ
K6138-F2206,20.0,,N,86.0,KFHQ
K6138-F2207,44.0,,N,149.0,KFHQ
K6138-F2208,20.0,,N,74.0,KFHQ
K7501-B227,20.0,,N,83.0,KFHQ
K7501-B233,0.0,04/29/2022,N,36.0,KFHQ
K7520-F2084,39.0,,N,133.0,KFHQ
K7573-B234,20.0,,N,88.0,KFHQ
K7658-B227,60.0,,N,203.0,KFHQ
K7658-B233,20.0,,N,80.0,KFHQ
K7803-YDQY-2,51.0,,N,172.0,KFHQ
K7898-F2365,0.0,04/29/2022,N,36.0,KFHQ
K6138-YDQY2,20.0,,N,62.0,KFHQ
K6159-A869,0.0,04/29/2022,N,32.0,KFHQ
K6159-E697,0.0,04/29/2022,N,28.0,KFHQ
K6159-E903,10.0,,N,45.0,KFHQ
K6159-F1332,151.0,,N,504.0,KFHQ
K6159-F1399,124.0,,N,416.0,KFHQ
K6159-F2205,20.0,,N,62.0,KFHQ
K6159-F2207,50.0,,N,169.0,KFHQ
K7905-F2371,0.0,04/29/2022,N,22.0,KFHQ
K7905-YDQY-2,10.0,,N,58.0,KFHQ
K7915-E899,0.0,04/29/2022,N,33.0,KFHQ
K7986-F2377,20.0,,N,63.0,KFHQ
K8176-YDQY-2,75.0,,N,252.0,KFHQ
K8537-B304,10.0,,N,44.0,KFHQ
K8537-B305,0.0,04/29/2022,N,33.0,KFHQ
K8596-B306,0.0,04/29/2022,N,7.0,KFHQ
K6159-F2208,0.0,04/29/2022,N,27.0,KFHQ
K6159-F2346,10.0,,N,47.0,KFHQ
K6159-F765,10.0,,N,60.0,KFHQ
K6159-YDQY-2,10.0,,N,59.0,KFHQ
K6189-F1332,34.0,,N,116.0,KFHQ
K6189-F1370,38.0,,N,128.0,KFHQ
K6211-B117,0.0,04/29/2022,N,39.0,KFHQ
K6211-B119,39.0,,N,130.0,KFHQ
K4710-E903,20.0,,N,85.0,KFHQ
K4710-F2383,0.0,04/29/2022,N,40.0,KFHQ
K4710-F696,20.0,,N,83.0,KFHQ
K4710-YDQY-2,0.0,04/29/2022,N,12.0,KFHQ
K5420-F1423,102.0,,N,342.0,KFHQ
K5508-E676,74.0,,N,247.0,KFHQ
K6171-A860,0.0,04/29/2022,N,25.0,KFHQ
K6171-B117,97.0,,N,324.0,KFHQ
K6211-B122,41.0,,N,139.0,KFHQ
K6211-B204,10.0,,N,46.0,KFHQ
K6211-B214,61.0,,N,204.0,KFHQ
K6211-B215,10.0,,N,44.0,KFHQ
K6211-B229,10.0,,N,50.0,KFHQ
K6384NP-A750,129.0,,N,430.0,KFHQ
K6384NP-A861,0.0,04/29/2022,N,4.0,KFHQ
K6384NP-A862,0.0,04/29/2022,N,13.0,KFHQ
K6171-B119,51.0,,N,172.0,KFHQ
K6171-B122,314.0,,N,1047.0,KFHQ
K6171-B204,54.0,,N,180.0,KFHQ
K6171-B214,95.0,,N,317.0,KFHQ
K6171-B215,264.0,,N,881.0,KFHQ
K6171-B228,243.0,,N,811.0,KFHQ
K6171-B229,62.0,,N,208.0,KFHQ
K6171-B247,115.0,,N,385.0,KFHQ
K6384NP-F2245,10.0,,N,45.0,KFHQ
K6384NP-F2246,0.0,04/29/2022,N,32.0,KFHQ
K6384NP-F2247,20.0,,N,96.0,KFHQ
K6384NP-F2262,30.0,,N,101.0,KFHQ
K6384NP-F2349,20.0,,N,87.0,KFHQ
K6384NP-F2381,0.0,04/29/2022,N,7.0,KFHQ
K6384NP-F2382,0.0,04/29/2022,N,29.0,KFHQ
K6444-A755,10.0,,N,60.0,KFHQ
K6171-B258,99.0,,N,330.0,KFHQ
K6171-F2248,94.0,,N,316.0,KFHQ
K6171-F2250,20.0,,N,82.0,KFHQ
K6206-F409,0.0,04/29/2022,N,21.0,KFHQ
K6377-F1326,98.0,,N,328.0,KFHQ
K6377-F1374,104.0,,N,348.0,KFHQ
K6377-F2349,35.0,,N,118.0,KFHQ
K6427-A727,40.0,,N,134.0,KFHQ
K6813-F1570,39.0,,N,133.0,KFHQ
K6813-F2031,42.0,,N,140.0,KFHQ
K6861-E846,10.0,,N,43.0,KFHQ
K7378-F1087,20.0,,N,83.0,KFHQ
K7378-F1370,0.0,04/29/2022,N,28.0,KFHQ
K7378-F1374,37.0,,N,124.0,KFHQ
K7378-F1424,20.0,,N,99.0,KFHQ
K7395-B267,0.0,04/29/2022,N,38.0,KFHQ
K6427-F1530,10.0,,N,53.0,KFHQ
K6705A,20.0,,N,99.0,KFHQ
K6908-F2230,0.0,04/29/2022,N,17.0,KFHQ
K6499-F2060,10.0,,N,50.0,KFHQ
K6499-F2205,20.0,,N,63.0,KFHQ
K6499-F2206,0.0,,N,,KFHQ
K6499-F2207,36.0,,N,121.0,KFHQ
K6499-F2208,20.0,,N,90.0,KFHQ
K6499-F2238,20.0,,N,81.0,KFHQ
K6499-F2349,48.0,,N,161.0,KFHQ
K6499-F2359,0.0,,N,,KFHQ
K7576.29-F2060,0.0,04/29/2022,N,18.0,KFHQ
K7576.29-F2230,10.0,,N,46.0,KFHQ
K7576.29-F2231,0.0,04/29/2022,N,16.0,KFHQ
K7651.24-A853,20.0,,N,85.0,KFHQ
K7651.24-E903,20.0,,N,93.0,KFHQ
K7651.24-F1552,20.0,,N,63.0,KFHQ
K7651.24-F1553,0.0,,N,,KFHQ
K7651.24-F1554,20.0,,N,65.0,KFHQ
K7143-J001,20.0,,N,62.0,KFHQ
K7243,75.0,,N,251.0,KFHQ
K7243-J001,20.0,,N,100.0,KFHQ
K7243-J038,10.0,,N,50.0,KFHQ
K7246-J014,0.0,04/29/2022,N,28.0,KFHQ
K7801-Y199,0.0,04/29/2022,N,30.0,KFHQ
K7821-Y199,10.0,,N,58.0,KFHQ
K4638-A765,10.0,,N,51.0,KFHQ
K4286-E844,0.0,04/29/2022,N,34.0,KFHQ
K4286-E848,0.0,04/29/2022,N,26.0,KFHQ
K4286-E886,0.0,,N,,KFHQ
K6858.24-A750,0.0,,N,,KFHQ
K6858.24-A793,52.0,,N,176.0,KFHQ
K6858.24-A794,36.0,,N,120.0,KFHQ
K6858.24-A825,34.0,,N,116.0,KFHQ
K6858.24-A832,64.0,,N,216.0,KFHQ
K6805-F2063,20.0,,N,99.0,KFHQ
K6805-F2069,10.0,,N,54.0,KFHQ
K6805-F2070,39.0,,N,133.0,KFHQ
K6805-F2087,10.0,,N,54.0,KFHQ
K6805-F2088,0.0,,N,,KFHQ
K6805-F2090,0.0,04/29/2022,N,9.0,KFHQ
K6805-F2091,31.0,,N,104.0,KFHQ
K6805-F2092,20.0,,N,91.0,KFHQ
K4638-A847,0.0,04/29/2022,N,26.0,KFHQ
K4638-F1319,0.0,04/29/2022,N,26.0,KFHQ
K4638-F2114,20.0,,N,66.0,KFHQ
K4638-F2231,0.0,04/29/2022,N,22.0,KFHQ
K4638-F2244,0.0,04/29/2022,N,40.0,KFHQ
K4638-F2245,10.0,,N,58.0,KFHQ
K4638-F2246,20.0,,N,82.0,KFHQ
K4638-F2247,0.0,04/29/2022,N,33.0,KFHQ
K6858.24-F1374,20.0,,N,97.0,KFHQ
K6858.24-F1530,0.0,04/29/2022,N,39.0,KFHQ
K6858.24-F2051,37.0,,N,125.0,KFHQ
K6858.24-F2052,10.0,,N,42.0,KFHQ
K6858.24-F2262,0.0,,N,,KFHQ
K6858.24-F765,20.0,,N,66.0,KFHQ
K6858.24-F975,20.0,,N,83.0,KFHQ
K6858.29-A793,20.0,,N,75.0,KFHQ
K6805-F2093,0.0,04/29/2022,N,3.0,KFHQ
K6805-F2096,0.0,,N,,KFHQ
K6805-F2245,20.0,,N,82.0,KFHQ
K6805-F2247,10.0,,N,47.0,KFHQ
K6805-F2285,0.0,,N,,KFHQ
K4638-F2262,0.0,04/29/2022,N,30.0,KFHQ
K4638-F2398,0.0,,N,,KFHQ
K4638-F2399,20.0,,N,81.0,KFHQ
K6381-A727,10.0,,N,57.0,KFHQ
K6499-A727,0.0,,N,,KFHQ
K6499-A750,0.0,,N,,KFHQ
K6499-A769,20.0,,N,80.0,KFHQ
K6499-A793,20.0,,N,79.0,KFHQ
K6858.29-A825,0.0,04/29/2022,N,4.0,KFHQ
K6858.29-F1374,55.0,,N,186.0,KFHQ
K6858.29-F1530,10.0,,N,41.0,KFHQ
K6858.29-F2051,0.0,04/29/2022,N,19.0,KFHQ
K6858.29-F2052,45.0,,N,151.0,KFHQ
K6858.29-F2244,20.0,,N,90.0,KFHQ
K6858.29-F2246,63.0,,N,213.0,KFHQ
K6858.29-F2247,0.0,04/29/2022,N,33.0,KFHQ
K2984-A835,0.0,,N,,KFHQ
K6499-A794,0.0,04/29/2022,N,7.0,KFHQ
K6499-A810,20.0,,N,92.0,KFHQ
K6499-A823,0.0,04/29/2022,N,5.0,KFHQ
K6499-A861,33.0,,N,112.0,KFHQ
K6499-A862,69.0,,N,232.0,KFHQ
K6499-B117,61.0,,N,205.0,KFHQ
K6499-B119,10.0,,N,56.0,KFHQ
K6499-B122,0.0,04/29/2022,N,37.0,KFHQ
K7446-F2105,35.0,,N,119.0,KFHQ
K7446-F2176,10.0,,N,54.0,KFHQ
K7446-F2178,33.0,,N,111.0,KFHQ
K7446-F2182,34.0,,N,116.0,KFHQ
K7446-F2183,0.0,04/29/2022,N,33.0,KFHQ
K7569.24-F1326,20.0,,N,90.0,KFHQ
K7570.24-F1210,10.0,,N,44.0,KFHQ
K7570.24-F1211,0.0,04/29/2022,N,12.0,KFHQ
K6499-B214,70.0,,N,234.0,KFHQ
K6499-B215,48.0,,N,162.0,KFHQ
K6499-B228,0.0,,N,,KFHQ
K6499-B229,20.0,,N,73.0,KFHQ
K6499-B247,90.0,,N,301.0,KFHQ
K6499-F1598,64.0,,N,214.0,KFHQ
K6499-F2051,20.0,,N,87.0,KFHQ
K6499-F2055,0.0,04/29/2022,N,28.0,KFHQ
K7570.24-F2105,0.0,04/29/2022,N,3.0,KFHQ
K7570.24-F2176,0.0,,N,,KFHQ
K7570.24-F2178,0.0,04/29/2022,N,39.0,KFHQ
K7570.24-F2182,0.0,,N,,KFHQ
K7570.24-F2183,0.0,,N,,KFHQ
K7576.24-A769,20.0,,N,94.0,KFHQ
K7576.24-A793,0.0,,N,,KFHQ
K7576.24-F2060,0.0,04/29/2022,N,8.0,KFHQ
K6499-F2372,0.0,,N,,KFHQ
K6699-F2099,20.0,,N,92.0,KFHQ
K6699-F2148,43.0,,N,144.0,KFHQ
K6699-F2230,66.0,,N,222.0,KFHQ
K6699-F2231,83.0,,N,279.0,KFHQ
K6699-F2352,56.0,,N,187.0,KFHQ
K6771-A750,45.0,,N,150.0,KFHQ
K6859-A832,20.0,,N,92.0,KFHQ
K7651.24-F2261,0.0,04/29/2022,N,14.0,KFHQ
K7651.24-F2267,0.0,04/29/2022,N,7.0,KFHQ
K7651.24-F2348,0.0,04/29/2022,N,28.0,KFHQ
K7651.24-F2353,34.0,,N,114.0,KFHQ
K7651.24-F2380,0.0,04/29/2022,N,11.0,KFHQ
K7651.24-F2383,0.0,04/29/2022,N,37.0,KFHQ
K7699.24-F2262,0.0,,N,,KFHQ
K7699.24-F2269,10.0,,N,46.0,KFHQ
K6859-B300,0.0,04/29/2022,N,16.0,KFHQ
K6859-E900,0.0,04/29/2022,N,25.0,KFHQ
K6859-F1374,10.0,,N,48.0,KFHQ
K6859-F1550,49.0,,N,165.0,KFHQ
K6859-F1570,141.0,,N,472.0,KFHQ
K6859-F2011,0.0,,N,,KFHQ
K6859-F2111,0.0,,N,,KFHQ
K6859-F2141,0.0,04/29/2022,N,38.0,KFHQ
K7701.24-A839,20.0,,N,62.0,KFHQ
K7701.24-F2280,30.0,,N,101.0,KFHQ
K7701.24-F2281,0.0,04/29/2022,N,39.0,KFHQ
K7701.24-F2283,0.0,04/29/2022,N,33.0,KFHQ
K7854.24-F2011,0.0,,N,,KFHQ
K7854.24-F2111,20.0,,N,82.0,KFHQ
K1136-44,0.0,,N,,
K1136-F662,0.0,,N,,KFHQ
K6859-F2182,20.0,,N,100.0,KFHQ
K6859-F2351,10.0,,N,52.0,KFHQ
K6908-A804,20.0,,N,80.0,KFHQ
K6908-A869,20.0,,N,74.0,KFHQ
K6908-B258,20.0,,N,65.0,KFHQ
K6908-B267,0.0,04/29/2022,N,34.0,KFHQ
K6908-B268,20.0,,N,85.0,KFHQ
K6908-B270,0.0,04/29/2022,N,7.0,KFHQ
K1136-F765,215.0,,N,719.0,KFHQ
K1136-F772,110.0,,N,368.0,KFHQ
K1136-F975,10.0,,N,55.0,KFHQ
K2984-A836,20.0,,N,90.0,KFHQ
