HDR,20210328,20210329,OSHQ,13824 Yorba Ave,Unnamed: 5,Chino,CA,91710,USA,Unnamed: 10
DET,204,N5762-YDQY-2,,56245889,SQUARE STORAGE OTTOMAN,AV,20,EA,49.05,
DET,205,N6302-F1550,,46842514,TEAL CHNKY TXTRD STORAGE BNCH,AV,20,EA,82.92,
DET,206,N6302-F1569,,46843348,MNGO CRL CHNKY TXTD STRGE BNCH,AV,10,EA,82.92,20220201.0
DET,207,N6302-F1570,,46842894,CHNKY TXTRD DCORTVE STRGE BNCH,OS,0,EA,82.92,20220301.0
DET,208,N6354-YDQY-2,,56246192,PARSONS DINING CHAIR,OS,0,EA,153.18,20211201.0
DET,209,N7697S-F2182,,51706174,STORAGE OTTOMAN,AV,20,EA,75.76,
DET,210,N8264-A848,,60274453,Storage Ottoman in Navy,OS,0,EA,77.0,20211201.0
DET,211,N8264-E903,,56245921,LARGE ROUND STORAGE OTTOMAN,OS,0,EA,82.97,20220501.0
DET,212,N8264-F1077,,41869314,BUTTON TUFT STORAGE OTTO TAN,OS,0,EA,64.1,20220416.0
DET,213,N8264-F2111,,52854163,LRG STORAGE OTTOMAN,AV,71,EA,139.86,
DET,214,N8264-F986,,41869322,BUTTON TUFT STORAGE OTTO BRWN,OS,0,EA,64.1,20220418.0
DET,215,N8264-YDQY-2,,56245939,LARGE ROUND STORAGE OTTOMAN,OS,0,EA,82.97,20220201.0
DET,216,K7171-YDQY-2,,56245673,RECLINER,DI,0,EA,307.8,
DET,217,K7743-A870,,56246077,STORAGE BENCH,DI,0,EA,151.67,
DET,218,K6805-F2388,,59035618,PARSONS DINING CHAIR S/2,DI,0,EA,155.4,
DET,219,K7783-A859,,56245681,LARGE SQUARE OTTOMAN,DI,0,EA,199.5,
DET,220,K7783-A863,,54834908,LRG OTTOMAN,DI,0,EA,199.5,
DET,221,K7783-A868,,56245699,LARGE SQUARE OTTOMAN,DI,0,EA,199.5,
DET,222,K7874-E903,,56246275,ROUND OTTOMAN,DI,0,EA,65.4,
DET,223,K8151-E900,,54834841,"24"" SWIVEL COUNTER STOOL",DI,0,EA,76.3,
DET,224,K7770-F2377,,56246176,KID'S SLIPPER CHAIR,DI,0,EA,92.76,
DET,225,K7785-YDQY2,,54834924,LRG PILLOWTOP OTTOMAN,DI,0,EA,104.64,
